state,year,assets,liabilities,debt,fundedRatio,changeInFundedRatio,fundedRank,arc,actual,shortfall,percentPaid
Washington,2013,65644900.00,74347100.00,8702200.00,0.88,-0.07,7.00,1675100.00,1257571.00,417529.00,0.75
West Virginia,2013,11218521.00,16728771.00,5510250.00,0.67,0.04,27.00,699040.00,697182.00,1858.00,1.00
Wisconsin,2013,85276100.00,85328700.00,52600.00,1.00,0.00,2.00,912400.00,912400.00,0.00,1.00
Wyoming,2013,7186844.00,9132959.00,1946115.00,0.79,-0.01,17.00,184651.00,151701.00,32950.00,0.82
US Total,2013,2465775276.00,3434158270.00,968382999.00,0.72,-0.01,N/A,91940678.00,73513657.00,19261183.00,0.80
Alabama,2012,28136859.00,42516832.00,14379973.00,0.66,-0.01,26.00,946573.00,946573.00,0.00,1.00
Alaska,2012,9871967.00,18061980.00,8190013.00,0.55,-0.05,47.00,588631.00,517050.00,71581.00,0.88
Arizona,2012,36868930.00,51243743.00,14374813.00,0.72,-0.01,21.00,1209913.00,1209913.00,0.00,1.00
Arkansas,2012,18745631.00,26255238.00,7509607.00,0.71,-0.01,22.00,712541.00,673360.00,39181.00,0.95
California,2012,436287572.00,567751143.00,131463571.00,0.77,0.00,18.00,16032759.00,11538446.00,4494313.00,0.72
Colorado,2012,39079472.00,61790595.00,22711123.00,0.63,0.02,35.00,1173595.00,994283.00,179312.00,0.85
Connecticut,2012,23654458.00,48200472.00,24546014.00,0.49,-0.06,48.00,1698713.00,1698684.00,29.00,1.00
Delaware,2012,7862288.00,8899785.00,1037497.00,0.88,-0.02,7.00,196462.00,194272.00,2190.00,0.99
Florida,2012,128112127.00,157068063.00,28955936.00,0.82,-0.01,11.00,2547416.00,1499220.00,1048196.00,0.59
Georgia,2012,69608144.00,86383983.00,16775839.00,0.81,-0.02,12.00,1375335.00,1375822.00,-487.00,1.00
Hawaii,2012,12242500.00,20683400.00,8440900.00,0.59,0.00,41.00,654755.00,548353.00,106402.00,0.84
Idaho,2012,11704299.00,13781856.00,2077557.00,0.85,-0.05,9.00,338779.00,292473.00,46306.00,0.86
Illinois,2012,64029871.00,158611516.00,94581645.00,0.40,-0.03,50.00,6612369.00,5010518.00,1601851.00,0.76
Indiana,2012,25528563.00,41883520.00,16354957.00,0.61,-0.02,39.00,1733433.00,1517204.00,216229.00,0.88
Iowa,2012,23940276.00,30096586.00,6156310.00,0.80,0.00,14.00,593442.00,577362.00,16079.00,0.97
Kansas,2012,13278490.00,23531423.00,10252933.00,0.56,-0.03,44.00,843362.00,565052.00,278309.00,0.67
Kentucky,2012,18765565.00,40121012.00,21355447.00,0.47,-0.04,49.00,1252121.00,814269.00,437852.00,0.65
Louisiana,2012,24430255.00,43736103.00,19305848.00,0.56,0.00,46.00,1971426.00,1911610.00,59816.00,0.97
Maine,2012,11076487.00,14011605.00,2935118.00,0.79,-0.01,15.00,274914.00,275230.00,-316.00,1.00
Maryland,2012,37437320.00,58304950.00,20867630.00,0.64,0.00,31.00,2053679.00,1432091.00,621588.00,0.70
Massachusetts,2012,43517498.00,71621732.00,28104234.00,0.61,-0.05,40.00,1669230.00,1458813.00,210417.00,0.87
Michigan,2012,49348939.00,80519650.00,31170711.00,0.61,-0.04,38.00,2320221.00,1920174.00,400047.00,0.83
Minnesota,2012,47111760.00,62720384.00,15608624.00,0.75,-0.03,20.00,1159547.00,934199.00,225348.00,0.81
Mississippi,2012,20429973.00,35290396.00,14860423.00,0.58,-0.04,43.00,800199.00,805271.00,-5072.00,1.01
Missouri,2012,44463047.00,56985830.00,12522783.00,0.78,-0.04,17.00,1344600.00,1244510.00,100090.00,0.93
Montana,2012,7605142.00,11907949.00,4302807.00,0.64,-0.02,32.00,282488.00,196159.00,86330.00,0.69
Nebraska,2012,9058379.00,11484451.00,2426073.00,0.79,-0.03,16.00,248529.00,225432.00,23097.00,0.91
Nevada,2012,27466740.00,38703611.00,11236871.00,0.71,0.01,23.00,1391350.00,1338624.00,52726.00,0.96
New Hampshire,2012,5859429.00,10432906.00,4573477.00,0.56,-0.01,45.00,257343.00,257343.00,0.00,1.00
New Jersey,2012,85938990.00,133148464.00,47209474.00,0.65,-0.03,30.00,5545701.00,2140168.00,3405533.00,0.39
New Mexico,2012,21397288.00,33886625.00,12489337.00,0.63,-0.04,36.00,874924.00,535669.00,339255.00,0.61
New York,2012,147809000.00,169266000.00,21457000.00,0.87,-0.03,8.00,4585177.00,4585177.00,0.00,1.00
North Carolina,2012,81198252.00,85079557.00,3881305.00,0.95,0.00,2.00,1398191.00,1399102.00,-911.00,1.00
North Dakota,2012,3498700.00,5513000.00,2014300.00,0.64,-0.05,34.00,163003.00,85979.00,77024.00,0.53
Ohio,2012,128002724.00,191146281.00,63143558.00,0.67,0.00,25.00,4511288.00,2587862.00,1923426.00,0.57
Oklahoma,2012,21469676.00,33072055.00,11602379.00,0.65,-0.02,29.00,1095372.00,1133763.00,-38392.00,1.04
Oregon,2012,54784100.00,60405200.00,5621100.00,0.91,0.09,6.00,1239400.00,892368.00,N/A,0.72
Pennsylvania,2012,83530288.00,130816264.00,47285976.00,0.64,-0.04,33.00,3673876.00,1564023.00,2109853.00,0.43
Rhode Island,2012,6295214.00,10816459.00,4521245.00,0.58,-0.01,42.00,367282.00,367282.00,0.00,1.00
South Carolina,2012,29555334.00,45202202.00,15646868.00,0.65,-0.03,27.00,973834.00,973834.00,0.00,1.00
South Dakota,2012,7932327.00,8570534.00,638207.00,0.93,-0.04,4.00,100240.00,99867.00,373.00,1.00
Tennessee,2012,36680782.00,40069332.00,3388550.00,0.92,0.00,5.00,1002686.00,1002686.00,0.00,1.00
Texas,2012,143799385.00,175469714.00,31670329.00,0.82,-0.01,10.00,3557450.00,2438834.00,1118617.00,0.69
Utah,2012,21369935.00,27939108.00,6569173.00,0.77,-0.02,19.00,813259.00,813259.00,0.00,1.00
Vermont,2012,3335632.00,4754089.00,1418457.00,0.70,-0.02,24.00,91522.00,107986.00,-16464.00,1.18
Virginia,2012,53069000.00,81207000.00,28138000.00,0.65,-0.04,28.00,1723651.00,1016482.00,707169.00,0.59
Washington,2012,63297256.00,66553456.00,3256200.00,0.95,0.01,3.00,1629600.00,1212601.00,416999.00,0.74
West Virginia,2012,10279137.00,16299371.00,6020234.00,0.63,-0.01,37.00,668223.00,705079.00,-36856.00,1.06
Wisconsin,2012,78613000.00,78682700.00,69700.00,1.00,0.00,1.00,826100.00,826100.00,0.00,1.00
Wyoming,2012,6609063.00,8300258.00,1691194.00,0.80,-0.03,13.00,164142.00,146353.00,17789.00,0.89
US Total,2012,2383987064.00,3298798385.00,914811320.00,0.72,-0.02,N/A,87288647.00,66606785.00,20334830.00,0.76
Alabama,2011,29122163.00,43536747.00,14414584.00,0.67,-0.03,32.00,1185548.00,1185548.00,0.00,1.00
Alaska,2011,10257331.00,17339451.00,7082120.00,0.59,0.00,45.00,394768.00,352751.00,42018.00,0.89
Arizona,2011,35613124.00,48637738.00,13024614.00,0.73,-0.02,21.00,1116650.00,1116650.00,0.00,1.00
Arkansas,2011,18227078.00,25155070.00,6927992.00,0.73,-0.02,23.00,650362.00,634822.00,15540.00,0.98
California,2011,424265646.00,548905977.00,124640331.00,0.77,-0.01,20.00,15601794.00,11191156.00,4410637.00,0.72
Colorado,2011,37185067.00,60734721.00,23549654.00,0.61,-0.05,41.00,1056886.00,919058.00,137828.00,0.87
Connecticut,2011,24732705.00,44899473.00,20166768.00,0.55,0.02,48.00,1541878.00,1407394.00,134484.00,0.91
Delaware,2011,7630279.00,8417097.00,786818.00,0.91,-0.01,6.00,176245.00,172426.00,3819.00,0.98
Florida,2011,126369512.00,153499005.00,27129493.00,0.82,0.01,12.00,4243949.00,3387140.00,856809.00,0.80
